Showing outdated packages.
[*] indicates versions that are not the latest available.

Package Name                                    Current       Upgradable    Resolvable    Latest        

direct dependencies:                           
app_links                                       *6.4.1        *6.4.1        7.0.0         7.0.0         
cloud_firestore                                 *5.6.12       *5.6.12       6.4.1         6.4.1         
cloud_functions                                 *5.6.2        *5.6.2        6.3.1         6.3.1         
connectivity_plus                               *7.1.0        7.1.1         7.1.1         7.1.1         
cupertino_icons                                 *1.0.8        1.0.9         1.0.9         1.0.9         
dio                                             *5.9.1        5.9.2         5.9.2         5.9.2         
firebase_analytics                              *11.6.0       *11.6.0       12.4.1        12.4.1        
firebase_app_check                              *0.3.2+10     *0.3.2+10     0.4.4+1       0.4.4+1       
firebase_auth                                   *5.7.0        *5.7.0        6.5.1         6.5.1         
firebase_core                                   *3.15.2       *3.15.2       4.9.0         4.9.0         
firebase_crashlytics                            *4.3.10       *4.3.10       5.2.2         5.2.2         
firebase_messaging                              *15.2.10      *15.2.10      16.2.2        16.2.2        
firebase_storage                                *12.4.10      *12.4.10      13.4.1        13.4.1        
flutter_local_notifications                     *18.0.1       *18.0.1       21.0.0        21.0.0        
flutter_map                                     *8.2.2        8.3.0         8.3.0         8.3.0         
flutter_riverpod                                *3.1.0        3.3.1         3.3.1         3.3.1         
flutter_svg                                     *2.2.3        2.3.0         2.3.0         2.3.0         
go_router                                       *17.1.0       17.2.3        17.2.3        17.2.3        
google_sign_in                                  *6.3.0        *6.3.0        7.2.0         7.2.0         
image_picker                                    *1.2.1        1.2.2         1.2.2         1.2.2         
json_annotation                                 *4.9.0        *4.11.0       *4.11.0       4.12.0        
latlong2                                        *0.9.1        *0.9.1        *0.9.1        0.10.1        
mobile_scanner                                  *6.0.11       *6.0.11       7.2.0         7.2.0         
riverpod_annotation                             *4.0.0        4.0.2         4.0.2         4.0.2         
share_plus                                      *10.1.4       *10.1.4       *12.0.2       13.1.0        
shared_preferences                              *2.5.4        2.5.5         2.5.5         2.5.5         
video_player                                    *2.10.1       2.11.1        2.11.1        2.11.1        

dev_dependencies:                              
build_runner                                    *2.10.5       2.15.0        2.15.0        2.15.0        
fake_cloud_firestore                            *3.1.0        *3.1.0        4.1.1         4.1.1         
freezed                                         *3.2.3        3.2.5         3.2.5         3.2.5         
json_serializable                               *6.11.2       *6.13.0       *6.13.0       6.14.0        
mockito                                         *5.6.3        *5.6.4        *5.6.4        5.6.5         
riverpod_generator                              *4.0.0+1      4.0.3         4.0.3         4.0.3         

transitive dependencies:                       
_fe_analyzer_shared                             *91.0.0       *92.0.0       *92.0.0       100.0.0       
_flutterfire_internals                          *1.3.59       *1.3.59       1.3.71        1.3.71        
analyzer                                        *8.4.1        *9.0.0        *9.0.0        13.0.0        
archive                                         *4.0.7        4.0.9         4.0.9         4.0.9         
async                                           *2.13.0       2.13.1        2.13.1        2.13.1        
cloud_firestore_platform_interface              *6.6.12       *6.6.12       8.0.1         8.0.1         
cloud_firestore_web                             *4.4.12       *4.4.12       5.4.1         5.4.1         
cloud_functions_platform_interface              *5.8.2        *5.8.2        6.0.1         6.0.1         
cloud_functions_web                             *4.11.5       *4.11.5       5.1.7         5.1.7         
code_assets                                     *1.0.0        *1.0.0        *1.0.0        1.1.0         
dbus                                            *0.7.11       0.7.12        0.7.12        0.7.12        
dio_web_adapter                                 *2.1.1        2.1.2         2.1.2         2.1.2         
ffi                                             *2.1.5        2.2.0         2.2.0         2.2.0         
firebase_analytics_platform_interface           *4.4.3        *4.4.3        6.0.1         6.0.1         
firebase_analytics_web                          *0.5.10+16    *0.5.10+16    0.6.1+7       0.6.1+7       
firebase_app_check_platform_interface           *0.1.1+10     *0.1.1+10     0.4.0+1       0.4.0+1       
firebase_app_check_web                          *0.2.0+14     *0.2.0+14     0.2.4+2       0.2.4+2       
firebase_auth_platform_interface                *7.7.3        *7.7.3        9.0.1         9.0.1         
firebase_auth_web                               *5.15.3       *5.15.3       6.2.1         6.2.1         
firebase_core_platform_interface                *6.0.2        *6.0.3        7.0.1         7.0.1         
firebase_core_web                               *2.24.1       *2.24.1       3.7.0         3.7.0         
firebase_crashlytics_platform_interface         *3.8.10       *3.8.10       3.8.22        3.8.22        
firebase_messaging_platform_interface           *4.6.10       *4.6.10       4.7.11        4.7.11        
firebase_messaging_web                          *3.10.10      *3.10.10      4.1.7         4.1.7         
firebase_storage_platform_interface             *5.2.10       *5.2.10       6.0.1         6.0.1         
firebase_storage_web                            *3.10.17      *3.10.17      3.11.7        3.11.7        
flutter_local_notifications_linux               *5.0.0        *5.0.0        8.0.0         8.0.0         
flutter_local_notifications_platform_interface  *8.0.0        *8.0.0        11.0.0        11.0.0        
flutter_local_notifications_windows             -             -             3.0.0         3.0.0         
flutter_map_marker_popup                        *8.1.0        8.1.1         8.1.1         8.1.1         
flutter_plugin_android_lifecycle                *2.0.33       2.0.34        2.0.34        2.0.34        
google_sign_in_android                          *6.2.1        *6.2.1        7.2.10        7.2.10        
google_sign_in_ios                              *5.9.0        *5.9.0        6.3.0         6.3.0         
google_sign_in_platform_interface               *2.5.0        *2.5.0        3.1.0         3.1.0         
google_sign_in_web                              *0.12.4+4     *0.12.4+4     1.1.3         1.1.3         
gtk                                             *2.1.0        2.2.0         2.2.0         2.2.0         
hooks                                           *1.0.1        *1.0.3        *1.0.3        2.0.0         
image_picker_android                            *0.8.13+13    0.8.13+17     0.8.13+17     0.8.13+17     
jni                                             -             1.0.0         1.0.0         1.0.0         
jni_flutter                                     -             1.0.1         1.0.1         1.0.1         
logger                                          *2.6.2        2.7.0         2.7.0         2.7.0         
matcher                                         *0.12.19      *0.12.19      *0.12.19      0.12.20       
meta                                            *1.17.0       *1.17.0       *1.17.0       1.18.2        
mgrs_dart                                       *2.0.0        3.0.0         3.0.0         3.0.0         
native_toolchain_c                              *0.17.4       *0.17.6       *0.17.6       0.19.0        
objective_c                                     *9.2.5        9.3.0         9.3.0         9.3.0         
package_info_plus                               *9.0.0        *9.0.1        *9.0.1        10.1.0        
package_info_plus_platform_interface            *3.2.1        *3.2.1        *3.2.1        4.1.0         
path_provider_android                           *2.2.22       2.3.1         2.3.1         2.3.1         
petitparser                                     *7.0.1        7.0.2         7.0.2         7.0.2         
posix                                           *6.0.3        6.5.0         6.5.0         6.5.0         
proj4dart                                       *2.1.0        3.0.0         3.0.0         3.0.0         
qr                                              *3.0.2        *3.0.2        *3.0.2        4.0.0         
record_use                                      -             0.6.0         0.6.0         0.6.0         
riverpod                                        *3.1.0        3.2.1         3.2.1         3.2.1         
share_plus_platform_interface                   *5.0.2        *5.0.2        *6.1.0        7.1.0         
shared_preferences_android                      *2.4.20       2.4.23        2.4.23        2.4.23        
shared_preferences_platform_interface           *2.4.1        2.4.2         2.4.2         2.4.2         
simple_sparse_list                              -             0.1.4         0.1.4         0.1.4         
source_span                                     *1.10.1       1.10.2        1.10.2        1.10.2        
sqflite                                         *2.4.2        2.4.2+1       2.4.2+1       2.4.2+1       
sqflite_android                                 *2.4.2+2      2.4.2+3       2.4.2+3       2.4.2+3       
sqflite_common                                  *2.5.6        2.5.8         2.5.8         2.5.8         
synchronized                                    *3.4.0        3.4.0+1       3.4.0+1       3.4.0+1       
test                                            *1.30.0       *1.30.0       *1.30.0       1.31.1        
test_api                                        *0.7.10       *0.7.10       *0.7.10       0.7.12        
test_core                                       *0.6.16       *0.6.16       *0.6.16       0.6.18        
timezone                                        *0.10.1       *0.10.1       0.11.0        0.11.0        
unicode                                         *0.3.1        1.1.9         1.1.9         1.1.9         
url_launcher_android                            *6.3.28       6.3.29        6.3.29        6.3.29        
url_launcher_ios                                *6.3.6        6.4.1         6.4.1         6.4.1         
url_launcher_web                                *2.4.2        2.4.3         2.4.3         2.4.3         
uuid                                            *4.5.2        4.5.3         4.5.3         4.5.3         
vector_graphics                                 *1.1.19       1.2.2         1.2.2         1.2.2         
vector_graphics_compiler                        *1.1.20       1.2.3         1.2.3         1.2.3         
vector_math                                     *2.2.0        *2.2.0        *2.2.0        2.3.0         
video_player_android                            *2.9.1        2.9.5         2.9.5         2.9.5         
video_player_avfoundation                       *2.9.3        2.9.6         2.9.6         2.9.6         
video_player_platform_interface                 *6.6.0        6.7.0         6.7.0         6.7.0         
vm_service                                      *15.0.2       15.2.0        15.2.0        15.2.0        
win32                                           *5.15.0       *5.15.0       *5.15.0       6.2.0         
xml                                             *6.6.1        *6.6.1        *6.6.1        7.0.1         

transitive dev_dependencies:                   
analyzer_buffer                                 *0.1.11       *0.3.0        *0.3.0        0.3.2         
build                                           *4.0.4        4.0.6         4.0.6         4.0.6         
